date,attraction,city,tourists,type
2012_01,淡水漁人碼頭,新北市,257293,Outdoor
2012_01,新北市立黃金博物館,新北市,133916,Outdoor
2012_01,國立自然科學博物館,臺中市,297580,Indoor
2012_01,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_01,臺中國家歌劇院,臺中市,0,Indoor
2012_01,日月潭環潭區,南投縣,397982,Outdoor
2012_01,清境農場,南投縣,102698,Outdoor
2012_01,溪頭自然教育園區,南投縣,90648,Outdoor
2012_01,蓮池潭,高雄市,170000,Outdoor
2012_01,國立科學工藝博物館,高雄市,154390,Indoor
2012_01,高雄市立美術館,高雄市,141253,Indoor
2012_01,旗津風景區,高雄市,563288,Outdoor
2012_01,墾丁國家森林遊樂區,屏東縣,25597,Outdoor
2012_01,國立海洋生物博物館,屏東縣,122144,Indoor
2012_01,墾丁海水浴場,屏東縣,17060,Outdoor
2012_01,駁二藝術特區,高雄市,457502,Outdoor
2012_02,陽明山遊客中心,臺北市,18612,Indoor
2012_02,陽明公園,臺北市,463000,Outdoor
2012_02,擎天崗,臺北市,0,Outdoor
2012_02,國立故宮博物院,臺北市,329963,Indoor
2012_02,淡水漁人碼頭,新北市,233396,Outdoor
2012_02,新北市立黃金博物館,新北市,122711,Outdoor
2012_02,國立自然科學博物館,臺中市,266656,Indoor
2012_02,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_02,臺中國家歌劇院,臺中市,0,Indoor
2012_02,日月潭環潭區,南投縣,744315,Outdoor
2012_02,清境農場,南投縣,76293,Outdoor
2012_02,溪頭自然教育園區,南投縣,82678,Outdoor
2012_02,蓮池潭,高雄市,45000,Outdoor
2012_02,國立科學工藝博物館,高雄市,112645,Indoor
2012_02,高雄市立美術館,高雄市,117150,Indoor
2012_02,旗津風景區,高雄市,498894,Outdoor
2012_02,墾丁國家森林遊樂區,屏東縣,14568,Outdoor
2012_02,國立海洋生物博物館,屏東縣,81096,Indoor
2012_02,墾丁海水浴場,屏東縣,17165,Outdoor
2012_02,駁二藝術特區,高雄市,357965,Outdoor
2012_03,陽明山遊客中心,臺北市,18580,Indoor
2012_03,陽明公園,臺北市,705200,Outdoor
2012_03,擎天崗,臺北市,0,Outdoor
2012_03,國立故宮博物院,臺北市,426229,Indoor
2012_03,淡水漁人碼頭,新北市,279459,Outdoor
2012_03,新北市立黃金博物館,新北市,120575,Outdoor
2012_03,國立自然科學博物館,臺中市,205678,Indoor
2012_03,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_03,臺中國家歌劇院,臺中市,0,Indoor
2012_03,日月潭環潭區,南投縣,541968,Outdoor
2012_03,清境農場,南投縣,63003,Outdoor
2012_03,溪頭自然教育園區,南投縣,99675,Outdoor
2012_03,蓮池潭,高雄市,30000,Outdoor
2012_03,國立科學工藝博物館,高雄市,303590,Indoor
2012_03,高雄市立美術館,高雄市,83966,Indoor
2012_03,旗津風景區,高雄市,422422,Outdoor
2012_03,墾丁國家森林遊樂區,屏東縣,14271,Outdoor
2012_03,國立海洋生物博物館,屏東縣,67881,Indoor
2012_03,墾丁海水浴場,屏東縣,22834,Outdoor
2012_03,駁二藝術特區,高雄市,237498,Outdoor
2012_04,陽明山遊客中心,臺北市,13329,Indoor
2012_04,陽明公園,臺北市,85600,Outdoor
2012_04,擎天崗,臺北市,0,Outdoor
2012_04,國立故宮博物院,臺北市,464262,Indoor
2012_04,淡水漁人碼頭,新北市,282907,Outdoor
2012_04,新北市立黃金博物館,新北市,145568,Outdoor
2012_04,國立自然科學博物館,臺中市,223141,Indoor
2012_04,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_04,臺中國家歌劇院,臺中市,0,Indoor
2012_04,日月潭環潭區,南投縣,528040,Outdoor
2012_04,清境農場,南投縣,79777,Outdoor
2012_04,溪頭自然教育園區,南投縣,117567,Outdoor
2012_04,蓮池潭,高雄市,32000,Outdoor
2012_04,國立科學工藝博物館,高雄市,424343,Indoor
2012_04,高雄市立美術館,高雄市,61880,Indoor
2012_04,旗津風景區,高雄市,451577,Outdoor
2012_04,墾丁國家森林遊樂區,屏東縣,15266,Outdoor
2012_04,國立海洋生物博物館,屏東縣,91924,Indoor
2012_04,墾丁海水浴場,屏東縣,20202,Outdoor
2012_04,駁二藝術特區,高雄市,154091,Outdoor
2012_05,陽明山遊客中心,臺北市,14179,Indoor
2012_05,陽明公園,臺北市,38600,Outdoor
2012_05,擎天崗,臺北市,0,Outdoor
2012_05,國立故宮博物院,臺北市,421357,Indoor
2012_05,淡水漁人碼頭,新北市,285076,Outdoor
2012_05,新北市立黃金博物館,新北市,131076,Outdoor
2012_05,國立自然科學博物館,臺中市,195094,Indoor
2012_05,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_05,臺中國家歌劇院,臺中市,0,Indoor
2012_05,日月潭環潭區,南投縣,354536,Outdoor
2012_05,清境農場,南投縣,62526,Outdoor
2012_05,溪頭自然教育園區,南投縣,119051,Outdoor
2012_05,蓮池潭,高雄市,32000,Outdoor
2012_05,國立科學工藝博物館,高雄市,306819,Indoor
2012_05,高雄市立美術館,高雄市,48203,Indoor
2012_05,旗津風景區,高雄市,380353,Outdoor
2012_05,墾丁國家森林遊樂區,屏東縣,11702,Outdoor
2012_05,國立海洋生物博物館,屏東縣,96613,Indoor
2012_05,墾丁海水浴場,屏東縣,23984,Outdoor
2012_05,駁二藝術特區,高雄市,148240,Outdoor
2012_06,陽明山遊客中心,臺北市,11397,Indoor
2012_06,陽明公園,臺北市,28000,Outdoor
2012_06,擎天崗,臺北市,0,Outdoor
2012_06,國立故宮博物院,臺北市,309928,Indoor
2012_06,淡水漁人碼頭,新北市,272139,Outdoor
2012_06,新北市立黃金博物館,新北市,131076,Outdoor
2012_06,國立自然科學博物館,臺中市,174806,Indoor
2012_06,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_06,臺中國家歌劇院,臺中市,0,Indoor
2012_06,日月潭環潭區,南投縣,248707,Outdoor
2012_06,清境農場,南投縣,45964,Outdoor
2012_06,溪頭自然教育園區,南投縣,94663,Outdoor
2012_06,蓮池潭,高雄市,30000,Outdoor
2012_06,國立科學工藝博物館,高雄市,89524,Indoor
2012_06,高雄市立美術館,高雄市,45182,Indoor
2012_06,旗津風景區,高雄市,380353,Outdoor
2012_06,墾丁國家森林遊樂區,屏東縣,8605,Outdoor
2012_06,國立海洋生物博物館,屏東縣,100207,Indoor
2012_06,墾丁海水浴場,屏東縣,22860,Outdoor
2012_06,駁二藝術特區,高雄市,47049,Outdoor
2012_07,陽明山遊客中心,臺北市,16000,Indoor
